Part,Quantity,Price,Link
30mm Arcade Button,8,$6.21,https://aliexpress.com/item/1005010285560262.html
12mm Tactile Button,2,$2.98,https://aliexpress.com/item/1005004781630944.html
HW-504 Joystick Module,1,$1.81,https://aliexpress.com/item/1005006966359366.html
ESP32 C3 Super Mini,1,$12.79,https://www.amazon.es/dp/B0DMNBWTFD
Aluminium Tube OD: 10mm ID: 6mm Lenght 500mm,1,$5.73,https://aliexpress.com/item/1005011781231742.html
m3x14 screws,10,$2.23,https://aliexpress.com/item/1005005112411362.html
6.5mm Plywood ~250x150mm,1,~$1,Local Hardware Store
Pin Header 3pins,1,$2.12,https://aliexpress.com/item/1005008406352332.html
Silicon Wires,2,$13.51,https://aliexpress.com/item/1005005450546335.html
Female to Female Jumper Cable,4,$1.06,https://aliexpress.com/item/1005004631908016.html
3D Printed Parts,13,N/A,N/A
Total,,~49.44,
